Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: SPI-215&I-80   ID: 654013009
Report Date: Fri Jun  5 08:37:51 2026

Location: 40.764258 -111.946988
Street:    City/St:    Pole #: 
Desc:    Splice#: SPI-215&I-80


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,   5,BL,SL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,GR, ,CH 2356
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,   6,BL,WH,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,BR, ,CH 2356
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,   7,BL,RD,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,SL, ,[ATMS] AERONAUTICS
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,   8,BL,BK,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,WH, ,[ATMS] AERONAUTICS
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,   9,BL,YL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,RD, ,[DTS] AERONAUTICS
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  10,BL,VI,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,BK, ,[DTS] AERONAUTICS
HUB2-4(200S&1200W),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  11,BL,RO,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,YL, ,CH 2155
HUB2-4(200S&1200W),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  12,BL,AQ,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,VI, ,CH 2155
HUB2-4(200S&1200W),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  13,OR,BL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,RO, ,CH 2154
HUB2-4(200S&1200W),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  14,OR,OR,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,AQ, ,CH 2154
HUB2-4(200S&1200W),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  15,OR,GR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,BL, ,CH 2009
HUB2-4(200S&1200W),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  16,OR,BR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,OR, ,CH 2009
HUB2-6(CALIFORNIA_AVE),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  17,OR,SL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,RO, ,CH 2009
HUB2-6(CALIFORNIA_AVE),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  18,OR,WH,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,AQ, ,CH 2009
STATE_TAX_BLDG,24-SMF I-215 DIST: I-80 EB - INTERSECTION,  19,OR,RD,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,SL, ,[DTS] 2-09 - STATE TAX BLDG
STATE_TAX_BLDG,24-SMF I-215 DIST: I-80 EB - INTERSECTION,  20,OR,BK,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,WH, ,[DTS] 2-09 - STATE TAX BLDG
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  21,OR,YL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,SL, ,CH 2454
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  22,OR,VI,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,WH, ,CH 2454
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  23,OR,RO,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,RD, ,[DTS] JORDAN RIVER OHV PARK
HUB2-3(I-215&SR-68),24-SMF I-215 DIST: I-80 EB - INTERSECTION,  24,OR,AQ,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,BK, ,[DTS] JORDAN RIVER OHV PARK
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,   1,BL,BL,<->,18 DROP (CCTV): I-215 NB & I-80 (NE CORNER), ,BL,GR, ,CH 2305
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,   2,BL,OR,<->,18 DROP (CCTV): I-215 NB & I-80 (NE CORNER), ,BL,BR, ,CH 2305
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,   3,BL,GR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,RO, ,CH 2306
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,   4,BL,BR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BL,AQ, ,CH 2306
I-80&CANAL,288-SMF I-215 DIST: SR-201 - N TEMPLE NB,   5,BL,SL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,BL, ,
I-80&CANAL,288-SMF I-215 DIST: SR-201 - N TEMPLE NB,   6,BL,WH,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,OR, ,
HUB2-18(TOOELE_I-80&SR-36),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  13,OR,BL,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,AQ, ,[ATMS BB] 2-06 - 2-18
HUB2-18(TOOELE_I-80&SR-36),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  15,OR,GR,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,BL, ,[ATMS BB] 2-06 - 2-18
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  19,OR,RD,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,RD, ,CH 2402
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  20,OR,BK,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,BK, ,CH 2402
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  21,OR,YL,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,BL, ,CH 2305
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  22,OR,VI,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,OR, ,CH 2305
